0.00	0.05417
0.10	0.12188
0.20	0.13542
0.30	0.13542
0.40	0.13542
0.50	0.13542
0.60	0.13542
0.70	0.11607
0.80	0.10156
0.90	0.09028
1.00	0.08125
1.10	0.07386
1.20	0.06771
1.30	0.06250
1.40	0.05804
1.50	0.05417
1.60	0.05078
1.70	0.04779
1.80	0.04514
1.90	0.04276
2.00	0.04063
2.10	0.03869
2.20	0.03693
2.30	0.03533
2.40	0.03385
2.50	0.03250
2.60	0.03125
2.70	0.03009
2.80	0.02902
2.90	0.02802
3.00	0.02708
3.10	0.02536
3.20	0.02380
3.30	0.02238
3.40	0.02109
3.50	0.01990
3.60	0.01881
3.70	0.01780
3.80	0.01688
3.90	0.01603
4.00	0.01523
