0.00	0.05417
0.02	0.06771
0.04	0.08125
0.06	0.09479
0.08	0.10833
0.10	0.12188
0.12	0.13542
0.14	0.13542
0.16	0.13542
0.18	0.13542
0.20	0.13542
0.22	0.13542
0.24	0.13542
0.26	0.13542
0.28	0.13542
0.30	0.13542
0.32	0.13542
0.34	0.13542
0.36	0.13542
0.38	0.13542
0.40	0.13542
0.42	0.13542
0.44	0.13542
0.46	0.13542
0.48	0.13542
0.50	0.13542
0.52	0.13542
0.54	0.13542
0.56	0.13542
0.58	0.13542
0.60	0.13542
0.62	0.13105
0.64	0.12695
0.66	0.12311
0.68	0.11949
0.70	0.11607
0.72	0.11285
0.74	0.10980
0.76	0.10691
0.78	0.10417
0.80	0.10156
0.82	0.09909
0.84	0.09673
0.86	0.09448
0.88	0.09233
0.90	0.09028
0.92	0.08832
0.94	0.08644
0.96	0.08464
0.98	0.08291
1.00	0.08125
1.02	0.07966
1.04	0.07812
1.06	0.07665
1.08	0.07523
1.10	0.07386
1.12	0.07254
1.14	0.07127
1.16	0.07004
1.18	0.06886
1.20	0.06771
1.22	0.06660
1.24	0.06552
1.26	0.06448
1.28	0.06348
1.30	0.06250
1.32	0.06155
1.34	0.06063
1.36	0.05974
1.38	0.05888
1.40	0.05804
1.42	0.05722
1.44	0.05642
1.46	0.05565
1.48	0.05490
1.50	0.05417
1.52	0.05345
1.54	0.05276
1.56	0.05208
1.58	0.05142
1.60	0.05078
1.62	0.05015
1.64	0.04954
1.66	0.04895
1.68	0.04836
1.70	0.04779
1.72	0.04724
1.74	0.04670
1.76	0.04616
1.78	0.04565
1.80	0.04514
1.82	0.04464
1.84	0.04416
1.86	0.04368
1.88	0.04322
1.90	0.04276
1.92	0.04232
1.94	0.04188
1.96	0.04145
1.98	0.04104
2.00	0.04063
2.02	0.04022
2.04	0.03983
2.06	0.03944
2.08	0.03906
2.10	0.03869
2.12	0.03833
2.14	0.03797
2.16	0.03762
2.18	0.03727
2.20	0.03693
2.22	0.03660
2.24	0.03627
2.26	0.03595
2.28	0.03564
2.30	0.03533
2.32	0.03502
2.34	0.03472
2.36	0.03443
2.38	0.03414
2.40	0.03385
2.42	0.03357
2.44	0.03330
2.46	0.03303
2.48	0.03276
2.50	0.03250
2.52	0.03224
2.54	0.03199
2.56	0.03174
2.58	0.03149
2.60	0.03125
2.62	0.03101
2.64	0.03078
2.66	0.03055
2.68	0.03032
2.70	0.03009
2.72	0.02987
2.74	0.02965
2.76	0.02944
2.78	0.02923
2.80	0.02902
2.82	0.02881
2.84	0.02861
2.86	0.02841
2.88	0.02821
2.90	0.02802
2.92	0.02783
2.94	0.02764
2.96	0.02745
2.98	0.02727
3.00	0.02708
3.02	0.02673
3.04	0.02638
3.06	0.02603
3.08	0.02569
3.10	0.02536
3.12	0.02504
3.14	0.02472
3.16	0.02441
3.18	0.02410
3.20	0.02380
3.22	0.02351
3.24	0.02322
3.26	0.02294
3.28	0.02266
3.30	0.02238
3.32	0.02211
3.34	0.02185
3.36	0.02159
3.38	0.02134
3.40	0.02109
3.42	0.02084
3.44	0.02060
3.46	0.02036
3.48	0.02013
3.50	0.01990
3.52	0.01967
3.54	0.01945
3.56	0.01923
3.58	0.01902
3.60	0.01881
3.62	0.01860
3.64	0.01840
3.66	0.01820
3.68	0.01800
3.70	0.01780
3.72	0.01761
3.74	0.01743
3.76	0.01724
3.78	0.01706
3.80	0.01688
3.82	0.01670
3.84	0.01653
3.86	0.01636
3.88	0.01619
3.90	0.01603
3.92	0.01586
3.94	0.01570
3.96	0.01554
3.98	0.01539
4.00	0.01523
